Taxa,unclassified,total,unclassified_percent,database,method,dataset,method_dataset,name
HsapMB436,187792999,390148990,48.13366273,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00055451.PB.G1.P3_RevioSPRQ_s4.SW.B08
HsapMB436,40521000,390148991,10.38603224,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00055451.PB.G1.P3_RevioSPRQ_s4.SW.B08
HsapMB526,171047000,348853994,49.03111415,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00055451.PB.G1.P3_Vega.SW.B08
HsapMB526,40271999,348853993,11.54408429,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00055451.PB.G1.P3_Vega.SW.B08
HsapMB438,188532000,346000989,54.48886159,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00259294.PB.G1.P3_RevioSPRQ_s4.SW.D08
HsapMB438,61765000,346000996,17.85110468,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00259294.PB.G1.P3_RevioSPRQ_s4.SW.D08
HsapMB528,168827000,305664991,55.23269101,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00259294.PB.G1.P3_Vega.SW.D08
HsapMB528,59169000,305664994,19.35746689,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00259294.PB.G1.P3_Vega.SW.D08
HsapMB437,184027999,335686999,54.82130662,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00852347.PB.G1.P3_RevioSPRQ_s4.SW.C08
HsapMB437,34966999,335686995,10.41654861,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00852347.PB.G1.P3_RevioSPRQ_s4.SW.C08
HsapMB527,161555000,293315995,55.07882378,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00852347.PB.G1.P3_Vega.SW.C08
HsapMB527,33166999,293315998,11.30759973,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00852347.PB.G1.P3_Vega.SW.C08
HsapMB435,79484000,155454000,51.13023788,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00862391.PB.G1.P3_RevioSPRQ_s4.SW.A08
HsapMB435,30526999,155453992,19.63732073,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00862391.PB.G1.P3_RevioSPRQ_s4.SW.A08
HsapMB525,73561999,141621996,51.94249557,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00862391.PB.G1.P3_Vega.SW.A08
HsapMB525,28370000,141621999,20.03219853,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00862391.PB.G1.P3_Vega.SW.A08
HsapMB440,192548000,350911990,54.87073839,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00935408.PB.G1.P3_RevioSPRQ_s4.SW.F08
HsapMB440,64108000,350911983,18.2689686,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00935408.PB.G1.P3_RevioSPRQ_s4.SW.F08
HsapMB530,175761000,317529991,55.35256668,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00935408.PB.G1.P3_Vega.SW.F08
HsapMB530,60775000,317529993,19.13992421,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00935408.PB.G1.P3_Vega.SW.F08
HsapMB439,48674999,79885998,60.93057634,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00942023.PB.G1.P3_RevioSPRQ_s4.SW.E08
HsapMB439,19580999,79885995,24.51117871,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00942023.PB.G1.P3_RevioSPRQ_s4.SW.E08
HsapMB529,43686000,70411000,62.04428285,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,526.FB00942023.PB.G1.P3_Vega.SW.E08
HsapMB529,18391000,70410999,26.11949874,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,526.FB00942023.PB.G1.P3_Vega.SW.E08
HsapMB445,43489000,77895995,55.82957121,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00056005.PB.G1.P3_RevioSPRQ_s4.SW.B09
HsapMB445,12216000,77895999,15.68244859,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00056005.PB.G1.P3_RevioSPRQ_s4.SW.B09
HsapMB535,56519000,102888992,54.93201838,standard (0 cMAGs),seqwell HiFi,original,seqwell HiFi_original,549.FB00056005.PB.G1.P3_Vega.SW.B09
HsapMB535,16535000,102888994,16.07071792,986 cMAG,seqwell HiFi,original,seqwell HiFi_original,549.FB00056005.PB.G1.P3_Vega.SW.B09
