Nanoplot_File,RBK,RL_mean,RQ_mean,RL_median,RQ_median,Total_reads,RL_n50,RL_stdev,Total_bases,total_Gb,RL_max,type,Nanoplot_File_short,Run_ID,Run_ID_pb,library_ID,platform,hsid,wellid,tube_label,concat,hybrid,subsample,amount,hsap,ONT_Q20,dna_extraction_date,cleanup_date,cleanup_method,lib_prep_kit
Hsap_meta_a1.v1.hybrid.concat_nanoplot.html,NaN,7040,23,6122,24,817860,9148,5008,5758020513,5.758,94489,concat,Hsap_meta_a1,NaN,NaN,multiple,hybrid,526,a1,FB00862391,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_a2.v1.hybrid.concat_nanoplot.html,NaN,8252,22,5364,22,557259,13811,8728,4598724719,4.599,187172,,Hsap_meta_a2,NaN,NaN,multiple,hybrid,526,a2,FB00055451,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_a3.v1.hybrid.concat_nanoplot.html,NaN,8569,27,6976,36,1763589,11222,5439,15112638011,15.113,164407,,Hsap_meta_a3,NaN,NaN,multiple,hybrid,526,a3,FB00852347,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_a4.v1.hybrid.concat_nanoplot.html,NaN,8886,25,8016,32,1270788,12411,6092,11293399049,11.293,114247,,Hsap_meta_a4,NaN,NaN,multiple,hybrid,526,a4,FB00259294,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_a5.v1.hybrid.concat_nanoplot.html,NaN,5722,24,4385,30,1287577,8821,5333,7368362737,7.368,129539,,Hsap_meta_a5,NaN,NaN,multiple,hybrid,526,a5,FB00942023,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_a6.v1.hybrid.concat_nanoplot.html,NaN,10005,24,8133,30,5762236,11786,8794,57656554797,57.657,172543,,Hsap_meta_a6,NaN,NaN,multiple,hybrid,526,a6,FB00935408,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b1.v1.hybrid.concat_nanoplot.html,NaN,5448,23,4989,24,7139034,7421,3998,38893957623,38.894,111225,,Hsap_meta_b1,NaN,NaN,multiple,hybrid,549,b1,FB00863048,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b2.v1.hybrid.concat_nanoplot.html,NaN,2516,22,603,22,514406,7280,4510,1294669383,1.295,114629,,Hsap_meta_b2,NaN,NaN,multiple,hybrid,549,b2,FB00056005,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b3.v1.hybrid.concat_nanoplot.html,NaN,7700,26,6588,35,1592942,9978,4968,12265889667,12.266,100183,,Hsap_meta_b3,NaN,NaN,multiple,hybrid,549,b3,FB00851106,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b4.v1.hybrid.concat_nanoplot.html,NaN,7224,28,6491,38,3961083,8760,3944,28616937033,28.617,107223,,Hsap_meta_b4,NaN,NaN,multiple,hybrid,549,b4,FB00259103,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b5.v1.hybrid.concat_nanoplot.html,NaN,6539,28,5342,37,2689087,7861,4135,17586053290,17.586,87552,,Hsap_meta_b5,NaN,NaN,multiple,hybrid,549,b5,FB00929817,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_b6.v1.hybrid.concat_nanoplot.html,NaN,7089,21,4499,21,3789351,12366,8000,26865890867,26.866,164056,,Hsap_meta_b6,NaN,NaN,multiple,hybrid,549,b6,FB00936043,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c1.v1.hybrid.concat_nanoplot.html,NaN,6343,24,5887,28,1951416,8743,4587,12379489571,12.379,110834,,Hsap_meta_c1,NaN,NaN,multiple,hybrid,553,c1,FB00863032,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c2.v1.hybrid.concat_nanoplot.html,NaN,2627,22,1031,22,2676273,6354,3962,7032923992,7.033,125357,,Hsap_meta_c2,NaN,NaN,multiple,hybrid,553,c2,FB00256007,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c3.v1.hybrid.concat_nanoplot.html,NaN,4826,22,3317,22,373554,8111,4807,1802762717,1.803,148152,,Hsap_meta_c3,NaN,NaN,multiple,hybrid,553,c3,FB00252480,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c4.v1.hybrid.concat_nanoplot.html,NaN,4950,24,4027,31,5443518,7212,4128,26947760055,26.948,142993,,Hsap_meta_c4,NaN,NaN,multiple,hybrid,553,c4,FB00258936,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c5.v1.hybrid.concat_nanoplot.html,NaN,6173,25,4695,33,930895,9692,5457,5746402401,5.746,124330,,Hsap_meta_c5,NaN,NaN,multiple,hybrid,553,c5,FB00941897,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_c6.v1.hybrid.concat_nanoplot.html,NaN,1779,22,582,22,535169,4522,2836,952162855,0.952,108296,,Hsap_meta_c6,NaN,NaN,multiple,hybrid,553,c6,FB01123264,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_d1.v1.hybrid.concat_nanoplot.html,NaN,4775,23,3823,25,2092136,8157,4684,9990750187,9.991,158567,,Hsap_meta_d1,NaN,NaN,multiple,hybrid,603,d1,FB00860553,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_d2.v1.hybrid.concat_nanoplot.html,NaN,5967,23,4719,24,2273326,8705,5139,13565788713,13.566,99042,,Hsap_meta_d2,NaN,NaN,multiple,hybrid,603,d2,FB00260359,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_d3.v1.hybrid.concat_nanoplot.html,NaN,7390,26,6356,36,2856508,10383,4998,21110863769,21.111,156099,,Hsap_meta_d3,NaN,NaN,multiple,hybrid,603,d3,FB00924738,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_d4.v1.hybrid.concat_nanoplot.html,NaN,5942,24,4742,28,2792720,8763,5115,16596852357,16.597,139256,,Hsap_meta_d4,NaN,NaN,multiple,hybrid,603,d4,FB00936960,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
Hsap_meta_d5.v1.hybrid.concat_nanoplot.html,NaN,6827,24,5637,30,10225388,8720,5134,69816267384,69.816,249798,,Hsap_meta_d5,NaN,NaN,multiple,hybrid,603,d5,FB00258078,1,1,0,NaN,no_hsap,0,NaN,NaN,NaN,NaN
