HSAP_FILTER,GROUP,SUBSET_GROUP,ASSEMBLY_METHOD,DATA_TYPE,Completeness,Contamination,Contig_Number,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,closest_placement_ani,closest_placement_af,Complete,High-Quality+F:R,best_include,difference_percent_cMAG,difference_percent_hqMAG,30Gb,hybrid,Total_bases,Mb,data_size_Gb,Read_length_N50,Median_read_quality,Number_of_reads,data_avail_PB_ONT
NO,A6,SUB_01G,metaflye,ont,1015.1699999999998,40.11,45,114,9.443000000000001,3256.291734,39059513,4.93,38207,968.1299999999999,8.52,2,5,,,,0,0,,,,,,,
NO,A6,SUB_01G,metaflye,pb,947.85,8.009999999999998,70,118,8.718,3422.807923,32105453,4.48,27144,969.15,8.399999999999999,1,7,,,,0,0,,,,,,,
NO,A6,SUB_01G,metamdbg,ont,83.5,1.23,5,29,0.868,344.1747185,3271926,0.45,2753,96.03,0.72,0,0,,,,0,0,,,,,,,
NO,A6,SUB_01G,metamdbg,pb,983.8500000000001,19.35,71,87,8.708,3400.7941757999997,34056424,4.4799999999999995,28956,970.37,8.479999999999999,2,8,,,,0,0,,,,,,,
NO,A6,SUB_05G,metaflye,ont,2396,45.2,88,638,22.48,7971.8921236000015,79529038,11.52,74302,2405.52,21.28,6,15,,,,0,0,,,,,,,
NO,A6,SUB_05G,metaflye,pb,2857.1499999999996,26.500000000000004,144,1039,26.29,9897.661569300002,89201562,13.02,77628,2519.9600000000005,22.3,11,23,,,,0,0,,,,,,,
NO,A6,SUB_05G,metamdbg,ont,1006.35,36.410000000000004,86,416,9.541,3558.6135759999993,34172867,4.65,30112,967.71,7.97,2,5,,,,0,0,,,,,,,
NO,A6,SUB_05G,metamdbg,pb,3339.7,47.36999999999999,213,804,30.653,11549.99021,104386066,15.64,91335,3001.4700000000007,26.3,9,28,,,,0,0,,,,,,,
NO,A6,SUB_10G,metaflye,ont,3855.279999999999,96.84999999999998,182,1193,36.20200000000001,12700.480586800006,117905437,18.73,112159,3835.1400000000012,33.699999999999996,11,23,,,,0,0,,,,,,,
NO,A6,SUB_10G,metaflye,pb,3722.7999999999997,41.75,181,1481,34.09499999999999,12770.04305,112410535,17.180000000000003,98993,3469.5800000000004,30.3,15,30,,,,0,0,,,,,,,
NO,A6,SUB_10G,metamdbg,ont,1816.57,35.790000000000006,89,1190,16.62,6359.495769599999,60608866,8.520000000000001,52481,1643.5800000000004,14.350000000000001,7,15,,,,0,0,,,,,,,
NO,A6,SUB_10G,metamdbg,pb,4536.439999999999,66.73000000000002,218,1687,41.196000000000005,15545.240322600002,141031748,20.570000000000004,123332,4243.479999999999,37.30000000000001,21,38,,,,0,0,,,,,,,
NO,A6,SUB_20G,metaflye,ont,5944.040000000001,125.3,337,2140,55.91399999999998,19351.98379300001,184418698,28.97,179619,5663.699999999999,49.21999999999999,15,37,,,,0,0,,,,,,,
NO,A6,SUB_20G,metaflye,pb,6250.71,93.99999999999997,305,3653,57.68599999999998,21468.215978999993,188260047,28.909999999999997,167469,5764.130000000001,49.57000000000001,21,48,,,,0,0,,,,,,,
NO,A6,SUB_20G,metamdbg,ont,2626.9300000000007,71.57000000000002,191,2510,25.417,9500.452116,82601903,12.700000000000001,72953,2409.5699999999997,20.159999999999997,6,15,,,,0,0,,,,,,,
NO,A6,SUB_20G,metamdbg,pb,7132.839999999999,75.98999999999998,315,4864,64.74400000000001,24309.25169529999,216404555,33.040000000000006,190692,6645.369999999998,58.199999999999996,31,62,,,,0,0,,,,,,,
NO,A6,SUB_30G,metaflye,ont,6581.92,134.82000000000002,258,3730,60.644999999999996,21468.58646,196488969,31.580000000000005,185955,6341.049999999997,55.49999999999999,23,48,,,,0,0,,,,,,,
NO,A6,SUB_30G,metaflye,pb,7449.319999999998,87.63000000000001,334,5874,68.30300000000001,25432.553029899995,221552662,34.98000000000002,197350,6924.330000000003,60.26000000000001,28,64,,,,0,0,,,,,,,
NO,A6,SUB_30G,metamdbg,ont,3398.1499999999996,71.2,180,4408,31.50499999999999,11865.329046400002,108366565,15.899999999999999,94890,3198.7899999999995,27.900000000000002,14,24,,,,0,0,,,,,,,
NO,A6,SUB_30G,metamdbg,pb,8373.649999999998,110,360,6765,76.091,28450.912335599995,254458913,40.40000000000001,225742,7492.21,65.03,39,71,,,,0,0,,,,,,,
NO,A6,SUB_40G,metaflye,ont,7740.289999999997,162.94999999999996,348,3846,71.90099999999997,25082.031708100018,228200015,37.65,219764,7298.990000000004,64.36,26,54,,,,0,0,,,,,,,
NO,A6,SUB_40G,metamdbg,ont,4358.33,88.97,246,4310,40.211,14913.197173899996,132400817,20.169999999999998,118034,4258.510000000001,37.57999999999999,21,35,,,,0,0,,,,,,,
NO,A6,SUB_ALL,metaflye,ont,9699.820000000002,157.04000000000002,402,10176,90.39099999999996,31887.248292399985,278958301,46.65000000000001,264718,9294.600000000006,81.10999999999999,37,74,,,,0,0,,,,,,,
