Approach,Sample,Contig_number,Assembler,seq_assemble,Sample_name,Contig_Length_bp,
ONT,d5,1,metamdbg,ONT metamdbg,ONT_d5_metamdbg,5323063,67595
ONT,d5,2,metamdbg,ONT metamdbg,ONT_d5_metamdbg,3929904,9766116
ONT,d5,3,metamdbg,ONT metamdbg,ONT_d5_metamdbg,3168782,
ONT,d5,4,metamdbg,ONT metamdbg,ONT_d5_metamdbg,2979154,
ONT,d5,5,metamdbg,ONT metamdbg,ONT_d5_metamdbg,2553561,
ONT,d5,6,metamdbg,ONT metamdbg,ONT_d5_metamdbg,2452929,
ONT,d5,7,metamdbg,ONT metamdbg,ONT_d5_metamdbg,2007233,
ONT,d5,8,metamdbg,ONT metamdbg,ONT_d5_metamdbg,1982337,
ONT,d5,9,metamdbg,ONT metamdbg,ONT_d5_metamdbg,1971591,
ONT,d5,10,metamdbg,ONT metamdbg,ONT_d5_metamdbg,1093579,
ONT,d5,11,metamdbg,ONT metamdbg,ONT_d5_metamdbg,1002421,
ONT,d5,12,metamdbg,ONT metamdbg,ONT_d5_metamdbg,913618,
ONT,d5,13,metamdbg,ONT metamdbg,ONT_d5_metamdbg,752804,
ONT,d5,14,metamdbg,ONT metamdbg,ONT_d5_metamdbg,641806,
ONT,d5,15,metamdbg,ONT metamdbg,ONT_d5_metamdbg,641103,
ONT,d5,16,metamdbg,ONT metamdbg,ONT_d5_metamdbg,577690,
ONT,d5,17,metamdbg,ONT metamdbg,ONT_d5_metamdbg,497764,
ONT,d5,18,metamdbg,ONT metamdbg,ONT_d5_metamdbg,478213,
ONT,d5,19,metamdbg,ONT metamdbg,ONT_d5_metamdbg,474244,
ONT,d5,20,metamdbg,ONT metamdbg,ONT_d5_metamdbg,472799,
ONT,d5,21,metamdbg,ONT metamdbg,ONT_d5_metamdbg,432874,
ONT,d5,22,metamdbg,ONT metamdbg,ONT_d5_metamdbg,427427,
ONT,d5,23,metamdbg,ONT metamdbg,ONT_d5_metamdbg,422455,
ONT,d5,24,metamdbg,ONT metamdbg,ONT_d5_metamdbg,420959,
ONT,d5,25,metamdbg,ONT metamdbg,ONT_d5_metamdbg,416728,
ONT,d5,26,metamdbg,ONT metamdbg,ONT_d5_metamdbg,415546,
ONT,d5,27,metamdbg,ONT metamdbg,ONT_d5_metamdbg,413970,
ONT,d5,28,metamdbg,ONT metamdbg,ONT_d5_metamdbg,405847,
ONT,d5,29,metamdbg,ONT metamdbg,ONT_d5_metamdbg,401310,
ONT,d5,30,metamdbg,ONT metamdbg,ONT_d5_metamdbg,395304,
ONT,d5,31,metamdbg,ONT metamdbg,ONT_d5_metamdbg,394623,
ONT,d5,32,metamdbg,ONT metamdbg,ONT_d5_metamdbg,394316,
ONT,d5,33,metamdbg,ONT metamdbg,ONT_d5_metamdbg,387798,
ONT,d5,34,metamdbg,ONT metamdbg,ONT_d5_metamdbg,378235,
ONT,d5,35,metamdbg,ONT metamdbg,ONT_d5_metamdbg,373924,
ONT,d5,36,metamdbg,ONT metamdbg,ONT_d5_metamdbg,371373,
ONT,d5,37,metamdbg,ONT metamdbg,ONT_d5_metamdbg,330071,
ONT,d5,38,metamdbg,ONT metamdbg,ONT_d5_metamdbg,319271,
ONT,d5,39,metamdbg,ONT metamdbg,ONT_d5_metamdbg,318012,
ONT,d5,40,metamdbg,ONT metamdbg,ONT_d5_metamdbg,303461,
ONT,d5,41,metamdbg,ONT metamdbg,ONT_d5_metamdbg,301942,
ONT,d5,42,metamdbg,ONT metamdbg,ONT_d5_metamdbg,293993,
ONT,d5,43,metamdbg,ONT metamdbg,ONT_d5_metamdbg,293022,
ONT,d5,44,metamdbg,ONT metamdbg,ONT_d5_metamdbg,291641,
ONT,d5,45,metamdbg,ONT metamdbg,ONT_d5_metamdbg,290808,
ONT,d5,46,metamdbg,ONT metamdbg,ONT_d5_metamdbg,286330,
ONT,d5,47,metamdbg,ONT metamdbg,ONT_d5_metamdbg,285892,
ONT,d5,48,metamdbg,ONT metamdbg,ONT_d5_metamdbg,282106,
ONT,d5,49,metamdbg,ONT metamdbg,ONT_d5_metamdbg,271969,
ONT,d5,50,metamdbg,ONT metamdbg,ONT_d5_metamdbg,268468,
ONT,d5,51,metamdbg,ONT metamdbg,ONT_d5_metamdbg,267960,
ONT,d5,52,metamdbg,ONT metamdbg,ONT_d5_metamdbg,267836,
ONT,d5,53,metamdbg,ONT metamdbg,ONT_d5_metamdbg,265992,
ONT,d5,54,metamdbg,ONT metamdbg,ONT_d5_metamdbg,257270,
ONT,d5,55,metamdbg,ONT metamdbg,ONT_d5_metamdbg,255888,
ONT,d5,56,metamdbg,ONT metamdbg,ONT_d5_metamdbg,246986,
ONT,d5,57,metamdbg,ONT metamdbg,ONT_d5_metamdbg,246119,
ONT,d5,58,metamdbg,ONT metamdbg,ONT_d5_metamdbg,245762,
ONT,d5,59,metamdbg,ONT metamdbg,ONT_d5_metamdbg,238836,
ONT,d5,60,metamdbg,ONT metamdbg,ONT_d5_metamdbg,235741,
ONT,d5,61,metamdbg,ONT metamdbg,ONT_d5_metamdbg,234931,
ONT,d5,62,metamdbg,ONT metamdbg,ONT_d5_metamdbg,228056,
ONT,d5,63,metamdbg,ONT metamdbg,ONT_d5_metamdbg,227331,
ONT,d5,64,metamdbg,ONT metamdbg,ONT_d5_metamdbg,225398,
ONT,d5,65,metamdbg,ONT metamdbg,ONT_d5_metamdbg,222182,
ONT,d5,66,metamdbg,ONT metamdbg,ONT_d5_metamdbg,220186,
ONT,d5,67,metamdbg,ONT metamdbg,ONT_d5_metamdbg,218394,
ONT,d5,68,metamdbg,ONT metamdbg,ONT_d5_metamdbg,217302,
ONT,d5,69,metamdbg,ONT metamdbg,ONT_d5_metamdbg,214565,
ONT,d5,70,metamdbg,ONT metamdbg,ONT_d5_metamdbg,214151,
ONT,d5,71,metamdbg,ONT metamdbg,ONT_d5_metamdbg,213945,
ONT,d5,72,metamdbg,ONT metamdbg,ONT_d5_metamdbg,211075,
ONT,d5,73,metamdbg,ONT metamdbg,ONT_d5_metamdbg,210916,
ONT,d5,74,metamdbg,ONT metamdbg,ONT_d5_metamdbg,204759,
ONT,d5,75,metamdbg,ONT metamdbg,ONT_d5_metamdbg,204098,
ONT,d5,76,metamdbg,ONT metamdbg,ONT_d5_metamdbg,200333,
ONT,d5,77,metamdbg,ONT metamdbg,ONT_d5_metamdbg,198652,
ONT,d5,78,metamdbg,ONT metamdbg,ONT_d5_metamdbg,197838,
ONT,d5,79,metamdbg,ONT metamdbg,ONT_d5_metamdbg,195491,
ONT,d5,80,metamdbg,ONT metamdbg,ONT_d5_metamdbg,194308,
ONT,d5,81,metamdbg,ONT metamdbg,ONT_d5_metamdbg,192869,
ONT,d5,82,metamdbg,ONT metamdbg,ONT_d5_metamdbg,189986,
ONT,d5,83,metamdbg,ONT metamdbg,ONT_d5_metamdbg,187031,
ONT,d5,84,metamdbg,ONT metamdbg,ONT_d5_metamdbg,186499,
