Genera,category,Gene,gene_family,consensus_gene_name,consensus_product,threshold,alleles_at_maximum_threshold,number_genomes,average_dose,min_dose,max_dose,genomes_containing_fissions,genomes_containing_duplications,number_fission_loci,number_duplicated_loci,no_loci,products,gene_names,min_length(bp),max_length(bp),average_length(bp),cluster,cluster_order,ctg11571_94x_c_out,ctg11573_57x_c_out,ctg11580_43x_c_out,ctg11583_26x_l_out,ctg12262_45x_rc_out,ctg12265_259x_c_out,ctg17713_78x_rc_out,ctg17714_147x_c_out,ctg19218_26x_l_out,ctg28506_71x_c_out,ctg28510_23x_c_out,ctg28514_14x_l_out,ctg28519_42x_rc_out,ctg28529_146x_c_out,ctg31170_33x_c_out,ctg3232_136x_c_out,ctg3233_28x_c_out,ctg3237_11x_rc_out,ctg3239_19x_c_out,ctg3535_13x_c_out,ctg3537_17x_c_out,ctg3538_48x_rc_out,ctg3539_72x_c_out,ctg38907_13x_c_out,ctg3918_9x_c_out,ctg4047_12x_l_out,ctg4048_27x_c_out,ctg50905_118x_l_out,ctg50906_34x_c_out,ctg5737_54x_c_out,ctg6176_23x_c_out,ctg6275_14x_rc_out,ctg6277_75x_c_out,ctg6823_21x_c_out,ctg6826_23x_c_out,ctg6853_20x_rc_out,ctg7042_92x_c_out,ctg7044_122x_c_out,ctg7139_147x_c_out,ctg7140_24x_rc_out,ctg7143_29x_rc_out,ctg7145_199x_c_out,ctg7146_44x_c_out,ctg7556_40x_c_out,ctg7560_68x_c_out,ctg7563_129x_c_out,ctg7571_82x_c_out,ctg7608_72x_c_out,ctg8298_26x_c_out,ctg8299_8x_l_out,ctg8300_17x_c_out,ctg8302_19x_c_out,ctg8305_31x_c_out,ctg8306_37x_l_out,ctg9278_89x_c_out,ctg9279_63x_c_out,ctg9281_23x_c_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacteria,linear_growth_bool,g000002347_1_000000001,g000002347_1,tet(W),tetracycline resistance ribosomal protection protein Tet(W),60,3,47,1.02,1,2,0,1,0,1,48,tetracycline resistance ribosomal protection protein Tet(W)(47):tetracycline resistance ribosomal protection protein Tet(O)(1),tet(W)(47):tet(O)(1),1785,1920,1914.38,398,1,ctg11571_94x_c_out_00973,ctg11573_57x_c_out_00779,ctg11580_43x_c_out_01325,ctg11583_26x_l_out_00377,,,ctg17713_78x_rc_out_00830,ctg17714_147x_c_out_01927,ctg19218_26x_l_out_01137,ctg28506_71x_c_out_00946,ctg28510_23x_c_out_01478,,ctg28519_42x_rc_out_00939,ctg28529_146x_c_out_01310,,ctg3232_136x_c_out_00324,ctg3233_28x_c_out_00165,ctg3237_11x_rc_out_00640,ctg3239_19x_c_out_00238,ctg3535_13x_c_out_01865,ctg3537_17x_c_out_00966,ctg3538_48x_rc_out_00950,ctg3539_72x_c_out_01586,,ctg3918_9x_c_out_01011,ctg4047_12x_l_out_00311,ctg4048_27x_c_out_01280,ctg50905_118x_l_out_00470,ctg50906_34x_c_out_01047,,ctg6176_23x_c_out_00312,ctg6275_14x_rc_out_00374,ctg6277_75x_c_out_00196,ctg6823_21x_c_out_00521,ctg6826_23x_c_out_01278,,ctg7042_92x_c_out_00187,ctg7044_122x_c_out_00040,ctg7139_147x_c_out_01841,ctg7140_24x_rc_out_01568,ctg7143_29x_rc_out_00132,ctg7145_199x_c_out_00077,ctg7146_44x_c_out_02241,ctg7556_40x_c_out_00195,ctg7560_68x_c_out_00269,ctg7563_129x_c_out_00104,ctg7571_82x_c_out_02267,ctg7608_72x_c_out_01344,ctg8298_26x_c_out_00671,,ctg8300_17x_c_out_00012;ctg8300_17x_c_out_00177,ctg8302_19x_c_out_00345,,,ctg9278_89x_c_out_00142,ctg9279_63x_c_out_01871,ctg9281_23x_c_out_00273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000000214_1_000000001,g000000214_1,spoVG,hypothetical protein,60,11,20,1.75,1,3,11,12,11,15,35,hypothetical protein(38):Putative septation protein SpoVG(8),NA(38):spoVG(8),255,678,472.04,1111,1,,,ctg11585_18x_c_out_00448,(ctg13578_25x_rc_out_00787:ctg13578_25x_rc_out_00791),(ctg13579_25x_c_out_00657:ctg13579_25x_c_out_00660);ctg13579_25x_c_out_00665,,,,,,,(ctg18598_24x_c_out_00625:ctg18598_24x_c_out_00629),,,,,,,,,ctg28532_25x_c_out_01659,ctg28534_21x_l_out_02509;ctg28534_21x_l_out_02513;ctg28534_21x_l_out_02518,(ctg28538_37x_c_out_00646:ctg28538_37x_c_out_00650);ctg28538_37x_c_out_02388;ctg28538_37x_c_out_02392,,(ctg29570_13x_rc_out_01483:ctg29570_13x_rc_out_01486);ctg29570_13x_rc_out_01478,,(ctg29575_19x_l_out_00714:ctg29575_19x_l_out_00718);ctg29575_19x_l_out_00707,ctg29576_36x_c_out_02514;ctg29576_36x_c_out_02518,,,,(ctg46342_31x_c_out_01167:ctg46342_31x_c_out_01170);ctg46342_31x_c_out_01162,,,,,,ctg50936_168x_c_out_01554,,ctg51399_18x_c_out_00244,,(ctg6179_21x_rc_out_00648:ctg6179_21x_rc_out_00652);ctg6179_21x_rc_out_00657,(ctg7469_29x_l_out_02252:ctg7469_29x_l_out_02256);ctg7469_29x_l_out_02261,,ctg7575_95x_rc_out_01685,,(ctg8353_28x_c_out_00201:ctg8353_28x_c_out_00205);ctg8353_28x_c_out_01997;ctg8353_28x_c_out_02001,,(ctg8502_41x_c_out_00299:ctg8502_41x_c_out_00303);ctg8502_41x_c_out_00294,ctg9289_64x_c_out_01406;ctg9289_64x_c_out_02104,ctg9292_28x_c_out_00447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000001608_000000001,g000001608,,hypothetical protein,60,10,24,1.21,1,2,0,5,0,5,29,hypothetical protein(29),NA(29),171,186,182.17,942,1,,,ctg11585_18x_c_out_00447,ctg13578_25x_rc_out_00792,ctg13579_25x_c_out_00656;ctg13579_25x_c_out_01881,ctg13580_17x_c_out_01816,,,,,,ctg18598_24x_c_out_00624,,ctg23512_39x_c_out_01864,,,,,,,ctg28532_25x_c_out_01658,ctg28534_21x_l_out_02508,ctg28538_37x_c_out_00645;ctg28538_37x_c_out_02387,ctg28539_116x_rc_out_01944,ctg29570_13x_rc_out_01487,,ctg29575_19x_l_out_00719,ctg29576_36x_c_out_00480;ctg29576_36x_c_out_02513,,,,ctg46342_31x_c_out_01171,,ctg46350_62x_c_out_01682,,,,ctg50936_168x_c_out_01553,,ctg51399_18x_c_out_00245,,ctg6179_21x_rc_out_00647,ctg7469_29x_l_out_02251,,ctg7575_95x_rc_out_01686,,ctg8353_28x_c_out_00200;ctg8353_28x_c_out_01996,,ctg8502_41x_c_out_00304,ctg9289_64x_c_out_01407;ctg9289_64x_c_out_02103,ctg9292_28x_c_out_00446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000001914_1_000000005,g000001914_1,,hypothetical protein,80,6,18,1,1,1,1,0,1,0,18,hypothetical protein(19),NA(19),240,294,288.63,1202,1,,,ctg11585_18x_c_out_00443,ctg13578_25x_rc_out_00795,ctg13579_25x_c_out_00654,ctg13580_17x_c_out_01820,,,,,,ctg18598_24x_c_out_00621,,,,,,,,,ctg28532_25x_c_out_01654,,ctg28538_37x_c_out_02383,,ctg29570_13x_rc_out_01489,,ctg29575_19x_l_out_00721,,,,,ctg46342_31x_c_out_01173,,,,,,ctg50936_168x_c_out_01549,,,,ctg6179_21x_rc_out_00643,ctg7469_29x_l_out_02249,,ctg7575_95x_rc_out_01690,,ctg8353_28x_c_out_01992,,ctg8502_41x_c_out_00306,(ctg9289_64x_c_out_01410:ctg9289_64x_c_out_02099),ctg9292_28x_c_out_00442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000000797_000000001,g000000797,,hypothetical protein,60,15,26,1.27,1,3,0,5,0,7,33,hypothetical protein(33),NA(33),171,270,203.36,880,1,,,ctg11585_18x_c_out_01743,ctg13578_25x_rc_out_00802,ctg13579_25x_c_out_00647,ctg13580_17x_c_out_01830,,,ctg16598_64x_l_out_00466,,,ctg18598_24x_c_out_00614,,ctg23512_39x_c_out_01191,,,,,,,ctg28532_25x_c_out_01644,ctg28534_21x_l_out_00420;ctg28534_21x_l_out_02503,ctg28538_37x_c_out_00578;ctg28538_37x_c_out_00583;ctg28538_37x_c_out_02374,ctg28539_116x_rc_out_01227;ctg28539_116x_rc_out_01956,ctg29570_13x_rc_out_01495,,ctg29575_19x_l_out_00728,ctg29576_36x_c_out_02505,,,ctg38918_205x_c_out_00289,ctg46342_31x_c_out_01182,,,,,,ctg50936_168x_c_out_01538,,,,ctg6179_21x_rc_out_00637,ctg7469_29x_l_out_02236,ctg7574_35x_l_out_02140,ctg7575_95x_rc_out_00391,ctg8351_38x_c_out_00614,ctg8353_28x_c_out_00133;ctg8353_28x_c_out_00138;ctg8353_28x_c_out_01983,,ctg8502_41x_c_out_00319,ctg9289_64x_c_out_01422;ctg9289_64x_c_out_02089,ctg9292_28x_c_out_01742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000002873_000000002,g000002873,,hypothetical protein,70,3,12,1,1,1,1,0,1,0,12,hypothetical protein(13),NA(13),219,1020,860.08,1458,2,ctg108347_50x_c_out_00261,,,,,,,,ctg16598_64x_l_out_01854,,ctg18590_50x_rc_out_00483,,,,ctg23515_24x_c_out_02353,ctg23518_59x_c_out_01909,,ctg26428_11x_l_out_00826,ctg26430_17x_c_out_00174,(ctg26431_16x_c_out_01717:ctg26431_16x_c_out_01718),,,,,,,,,,ctg31174_26x_c_out_02391,ctg38918_205x_c_out_01709,,,,,,,,ctg51395_27x_c_out_01409,,ctg51402_63x_c_out_00388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000001646_1_000000010,g000001646_1,,hypothetical protein,90,3,23,1.04,1,2,0,1,0,1,24,hypothetical protein(24),NA(24),861,1509,1428,971,1,,,ctg11585_18x_c_out_01741,ctg13578_25x_rc_out_00804,,ctg13580_17x_c_out_01832,,,ctg16598_64x_l_out_00464,,,ctg18598_24x_c_out_00612,,ctg23512_39x_c_out_01193,,,,,,,ctg28532_25x_c_out_01642,ctg28534_21x_l_out_02501,ctg28538_37x_c_out_02372,,ctg29570_13x_rc_out_01497,,ctg29575_19x_l_out_00730,,,,ctg38918_205x_c_out_00287,ctg46342_31x_c_out_01184,,,,,,ctg50936_168x_c_out_01536,,,,ctg6179_21x_rc_out_00635,ctg7469_29x_l_out_02234,ctg7574_35x_l_out_02138,ctg7575_95x_rc_out_00393,ctg8351_38x_c_out_00612,ctg8353_28x_c_out_01981,,ctg8502_41x_c_out_00321,ctg9289_64x_c_out_01424;ctg9289_64x_c_out_02087,ctg9292_28x_c_out_01740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000002458_1_000000005,g000002458_1,,hypothetical protein,80,3,13,1.08,1,2,0,1,0,1,14,hypothetical protein(14),NA(14),192,192,192,1397,2,,,,ctg13578_25x_rc_out_00789,ctg13579_25x_c_out_00658,,,,,,,ctg18598_24x_c_out_00627,,,,,,,,,,ctg28534_21x_l_out_02511,ctg28538_37x_c_out_02390,,ctg29570_13x_rc_out_01485,,ctg29575_19x_l_out_00716,,,,,ctg46342_31x_c_out_01169,,,,,,,,,,ctg6179_21x_rc_out_00650,ctg7469_29x_l_out_02254,,,,ctg8353_28x_c_out_01999,,ctg8502_41x_c_out_00301,ctg9289_64x_c_out_01404;ctg9289_64x_c_out_02106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000002094_1_000000004,g000002094_1,,hypothetical protein,80,5,13,1.08,1,2,0,1,0,1,14,hypothetical protein(14),NA(14),369,675,614.79,1397,1,,,,ctg13578_25x_rc_out_00788,ctg13579_25x_c_out_00659,,,,,,,ctg18598_24x_c_out_00628,,,,,,,,,,ctg28534_21x_l_out_02512,ctg28538_37x_c_out_02391,,ctg29570_13x_rc_out_01484,,ctg29575_19x_l_out_00715,,,,,ctg46342_31x_c_out_01168,,,,,,,,,,ctg6179_21x_rc_out_00651,ctg7469_29x_l_out_02255,,,,ctg8353_28x_c_out_02000,,ctg8502_41x_c_out_00300,ctg9289_64x_c_out_01403;ctg9289_64x_c_out_02107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faecalibacterium,breastfed_bool,g000002486_000000002,g000002486,,hypothetical protein,70,6,13,1,1,1,0,0,0,0,13,hypothetical protein(13),NA(13),399,621,570.23,1409,1,,,,ctg13578_25x_rc_out_00783,ctg13579_25x_c_out_00664,,,,,,,ctg18598_24x_c_out_00633,,,,,,,,,,ctg28534_21x_l_out_02517,ctg28538_37x_c_out_00654,,ctg29570_13x_rc_out_01479,,ctg29575_19x_l_out_00708,ctg29576_36x_c_out_02523,,,,ctg46342_31x_c_out_01163,,,,,,,,,,ctg6179_21x_rc_out_00656,ctg7469_29x_l_out_02260,,,,ctg8353_28x_c_out_00209,,ctg8502_41x_c_out_00295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
